,richness,shannon,invsimpson,simpson,pielou,PD
X16_16N_H_N_1,280,2.827783708,8.406772496,0.881048286,0.501843708,8.51351
X16_16S_H_C_1,544,4.24197499,22.57756245,0.955708239,0.673441684,11.74803
X16_17N_N_N_2,538,4.330220244,30.69233333,0.967418574,0.688663748,10.83963
X16_17S_N_C_2,495,3.907019893,18.20781865,0.945078539,0.629701591,10.44203
X16_18N_H_N_0,533,3.962261278,16.0958553,0.937872205,0.631081908,12.27939
X16_18S_H_C_0,358,3.071939207,7.348503797,0.863917877,0.522391289,7.00117
X16_19N_N_N_1,611,4.498807847,30.88714852,0.967624075,0.701284466,13.62385
X16_19S_N_C_1,594,4.233150179,20.92553286,0.952211492,0.662788502,14.76696
X16_1N_H_N_1,250,3.128343668,10.78585484,0.907285976,0.566578975,5.92552
X16_1S_H_C_1,631,4.448698792,23.64975867,0.95771627,0.690008957,15.41451
X16_20N_H_N_1,451,3.258264485,8.458000962,0.881768753,0.533139474,10.12503
X16_20S_H_C_1,691,4.636444763,30.35828837,0.967060067,0.709138209,15.33421
X16_21N_H_N_2,705,4.782123692,41.29666099,0.975784967,0.729182595,15.68491
X16_21S_H_C_2,599,3.99526918,12.88980568,0.922419311,0.624723339,12.93533
X16_22N_H_N_2,698,4.965232715,53.32417435,0.981246779,0.758256961,13.46001
X16_22S_H_C_2,733,4.953088331,50.25469878,0.980101363,0.750792624,15.07906
X16_23N_N_N_1,382,3.587776336,17.07886836,0.941448111,0.603452064,10.07383
X16_23S_N_C_1,523,4.002479508,18.99818576,0.947363395,0.639416474,11.63512
X16_24N_N_N_0,522,3.026529472,4.292146491,0.76701634,0.483651365,11.31083
X16_24S_N_C_0,583,4.018457318,16.00766696,0.937529935,0.631020603,13.63157
X16_2N_H_N_0,406,3.980394473,23.95798164,0.958260257,0.662697375,11.45117
X16_2S_H_C_0,202,1.165319397,1.642761072,0.391268751,0.219529132,5.80035
X16_3N_N_N_1,752,4.937578697,39.659172,0.974785152,0.745549642,13.41828
X16_3S_N_C_1,705,4.733298671,37.61624241,0.973415739,0.721737711,21.88993
X16_4N_H_N_2,494,4.075687636,19.6600425,0.94913541,0.657100249,11.80178
X16_4S_H_C_2,571,4.14695271,16.81362713,0.940524433,0.653332035,12.61567
